Vehicle, Moves, Counter, Time, Velocity, CVelocity
255,1, 1, 165143040.000000, 6.055357, 1.000000
256,1, 2, 324854016.000000, 3.078306, 0.500000
257,1, 1, 304928000.000000, 3.279463, 1.000000
258,1, 234996, 3773810176.000000, 0.264984, 0.000004
259,1, 1, 233784064.000000, 4.277452, 1.000000
260,1, 192654, 3764634112.000000, 0.265630, 0.000005
261,1, 161864, 3968728064.000000, 0.251970, 0.000006
262,1, 1, 216624128.000000, 4.616291, 1.000000
263,1, 285532, 3591522816.000000, 0.278433, 0.000004
264,1, 1, 665266944.000000, 1.503156, 1.000000
265,1, 2, 630112000.000000, 1.587019, 0.500000
266,1, 3, 628892928.000000, 1.590096, 0.333333
267,1, 94426, 3899620096.000000, 0.256435, 0.000011
268,1, 1, 456411136.000000, 2.191007, 1.000000
269,1, 154689, 2850057984.000000, 0.350870, 0.000006
270,1, 1, 392221952.000000, 2.549577, 1.000000
271,1, 2, 439117056.000000, 2.277297, 0.500000
272,1, 1, 518224128.000000, 1.929667, 1.000000
273,1, 1, 313645824.000000, 3.188310, 1.000000
274,1, 1, 303330816.000000, 3.296731, 1.000000
275,1, 143091, 3739977984.000000, 0.267381, 0.000007
276,1, 233163, 3760038912.000000, 0.265955, 0.000004
277,1, 3, 314681856.000000, 3.177813, 0.333333
278,1, 162691, 3308998144.000000, 0.302206, 0.000006
279,1, 2, 233177088.000000, 4.288586, 0.500000
280,1, 1, 397748992.000000, 2.514148, 1.000000
281,1, 1, 259832064.000000, 3.848640, 1.000000
282,1, 1, 269125120.000000, 3.715744, 1.000000
283,1, 4, 267132928.000000, 3.743455, 0.250000
284,1, 5, 256868864.000000, 3.893037, 0.200000
285,1, 4, 381378048.000000, 2.622070, 0.250000
286,1, 1, 227192832.000000, 4.401547, 1.000000
287,1, 159162, 2664457984.000000, 0.375311, 0.000006
288,1, 125762, 3510024960.000000, 0.284898, 0.000008
289,1, 1, 240594944.000000, 4.156363, 1.000000
290,1, 208417, 3151067904.000000, 0.317353, 0.000005
291,1, 1, 111500032.000000, 8.968607, 1.000000
292,1, 1, 171891968.000000, 5.817607, 1.000000
293,1, 125746, 3448103936.000000, 0.290014, 0.000008
294,1, 137701, 2310842880.000000, 0.432743, 0.000007
295,1, 1, 146965760.000000, 6.804306, 1.000000
296,1, 196770, 3300557056.000000, 0.302979, 0.000005
297,1, 123479, 2764194048.000000, 0.361769, 0.000008
298,1, 1, 659436032.000000, 1.516447, 1.000000
299,1, 85896, 2508870912.000000, 0.398586, 0.000012
300,1, 2, 166288896.000000, 6.013631, 0.500000
301,1, 97077, 2226536960.000000, 0.449128, 0.000010
302,1, 97076, 2215968000.000000, 0.451270, 0.000010
303,1, 1, 555752960.000000, 1.799361, 1.000000
304,1, 112197, 2648275968.000000, 0.377604, 0.000009
305,1, 80496, 3183034880.000000, 0.314166, 0.000012
306,1, 1, 135201792.000000, 7.396352, 1.000000
307,1, 1, 144410112.000000, 6.924723, 1.000000
308,1, 115484, 2556801024.000000, 0.391114, 0.000009
309,1, 1, 891898112.000000, 1.121204, 1.000000
310,1, 172326, 2537850112.000000, 0.394034, 0.000006
311,1, 156991, 2883596032.000000, 0.346789, 0.000006
312,1, 83682, 1802912000.000000, 0.554658, 0.000012
313,1, 63013, 2046884096.000000, 0.488547, 0.000016
314,1, 1, 402318848.000000, 2.485591, 1.000000
315,1, 1, 796542976.000000, 1.255425, 1.000000
316,1, 390274, 6010327040.000000, 0.166380, 0.000003
317,1, 317484, 6179493888.000000, 0.161826, 0.000003
318,1, 30587, 1976529152.000000, 0.505937, 0.000033
319,1, 26394, 2139101184.000000, 0.467486, 0.000038
320,1, 3, 909807872.000000, 1.099133, 0.333333
321,1, 2, 871952128.000000, 1.146852, 0.500000
322,1, 3, 841864960.000000, 1.187839, 0.333333
323,1, 1, 287449088.000000, 3.478877, 1.000000
324,1, 270320, 4926066176.000000, 0.203002, 0.000004
325,1, 172326, 2036155904.000000, 0.491122, 0.000006
326,1, 1, 401851136.000000, 2.488484, 1.000000
327,1, 92265, 2032841216.000000, 0.491922, 0.000011
328,1, 46402, 1810882048.000000, 0.552217, 0.000022
329,1, 1, 580230144.000000, 1.723454, 1.000000
330,1, 362030, 5755788032.000000, 0.173738, 0.000003
331,1, 134112, 2144748032.000000, 0.466255, 0.000007
332,1, 1, 559623936.000000, 1.786914, 1.000000
333,1, 1, 554680064.000000, 1.802841, 1.000000
334,1, 2, 547772928.000000, 1.825574, 0.500000
335,1, 2, 520116992.000000, 1.922644, 0.500000
336,1, 67787, 1078493952.000000, 0.927219, 0.000015
337,1, 30256, 1320708096.000000, 0.757170, 0.000033
338,1, 216147, 5595764224.000000, 0.178707, 0.000005
339,1, 1, 445940992.000000, 2.242449, 1.000000
340,1, 1, 267270912.000000, 3.741522, 1.000000
341,1, 1, 256488960.000000, 3.898803, 1.000000
342,1, 1, 300956928.000000, 3.322735, 1.000000
343,1, 30586, 1347493120.000000, 0.742119, 0.000033
344,1, 362029, 5427659008.000000, 0.184241, 0.000003
345,1, 25355, 1708621056.000000, 0.585267, 0.000039
346,1, 1, 600094976.000000, 1.666403, 1.000000
347,1, 26265, 1313684992.000000, 0.761217, 0.000038
348,1, 15622, 1142276864.000000, 0.875445, 0.000064
349,1, 1, 1138627072.000000, 0.878251, 1.000000
350,1, 32988, 1271891968.000000, 0.786230, 0.000030
351,1, 500552, 5196865024.000000, 0.192424, 0.000002
352,1, 180500, 5006969088.000000, 0.199722, 0.000006
353,1, 1, 356043008.000000, 2.808649, 1.000000
354,1, 1, 274955008.000000, 3.636959, 1.000000
355,1, 1, 373210112.000000, 2.679456, 1.000000
356,1, 321589, 4717398016.000000, 0.211981, 0.000003
357,1, 1, 308854016.000000, 3.237776, 1.000000
358,1, 17436, 1100489984.000000, 0.908686, 0.000057
359,1, 1103, 563284992.000000, 1.775300, 0.000907
360,1, 10783, 732713984.000000, 1.364789, 0.000093
361,1, 321588, 4689224960.000000, 0.213255, 0.000003
362,1, 260222, 4635857152.000000, 0.215710, 0.000004
363,1, 180529, 4561060096.000000, 0.219247, 0.000006
364,1, 177510, 3667066112.000000, 0.272698, 0.000006
365,1, 304155, 4564034048.000000, 0.219104, 0.000003
366,1, 350696, 4514588160.000000, 0.221504, 0.000003
367,1, 283483, 4591638016.000000, 0.217787, 0.000004
368,1, 1, 151719936.000000, 6.591092, 1.000000
369,1, 1, 960264960.000000, 1.041379, 1.000000
370,1, 119955, 4222115072.000000, 0.236848, 0.000008
371,1, 189829, 4299076096.000000, 0.232608, 0.000005
372,1, 302955, 4292404992.000000, 0.232970, 0.000003
373,1, 1, 522918144.000000, 1.912345, 1.000000
374,1, 151358, 3333108992.000000, 0.300020, 0.000007
375,1, 12, 640801792.000000, 1.560545, 0.083333
376,1, 1, 617231104.000000, 1.620139, 1.000000
377,1, 1, 616897024.000000, 1.621016, 1.000000
378,1, 216033, 4071791104.000000, 0.245592, 0.000005
379,1, 150235, 4144364032.000000, 0.241292, 0.000007
380,1, 1, 604980224.000000, 1.652947, 1.000000
381,1, 304606, 4296266240.000000, 0.232760, 0.000003
382,1, 1, 537452032.000000, 1.860631, 1.000000
383,1, 2, 431281920.000000, 2.318669, 0.500000
384,1, 1, 484700928.000000, 2.063128, 1.000000
385,1, 180176, 3875023872.000000, 0.258063, 0.000006
386,1, 3, 393157888.000000, 2.543507, 0.333333
387,1, 11, 524284928.000000, 1.907360, 0.090909
388,1, 1, 508264960.000000, 1.967478, 1.000000
389,1, 1, 429736960.000000, 2.327005, 1.000000
390,1, 2, 480375808.000000, 2.081703, 0.500000
391,1, 150236, 3924841984.000000, 0.254787, 0.000007
392,1, 10, 370466048.000000, 2.699303, 0.100000
393,1, 189827, 3982237952.000000, 0.251115, 0.000005
394,1, 1, 639259904.000000, 1.564309, 1.000000
395,1, 189828, 3968274176.000000, 0.251999, 0.000005
396,1, 1, 536376064.000000, 1.864364, 1.000000
397,1, 290901, 4055084032.000000, 0.246604, 0.000003
398,1, 1, 499683072.000000, 2.001269, 1.000000
399,1, 167718, 3335734016.000000, 0.299784, 0.000006
400,1, 132360, 2480261888.000000, 0.403183, 0.000008
401,1, 1, 151697920.000000, 6.592048, 1.000000
402,1, 139844, 2662728960.000000, 0.375555, 0.000007
403,1, 157605, 2716180992.000000, 0.368164, 0.000006
404,1, 1, 159301888.000000, 6.277390, 1.000000
405,1, 167717, 3289101824.000000, 0.304034, 0.000006
406,1, 116704, 2652430080.000000, 0.377013, 0.000009
407,1, 89722, 2652244992.000000, 0.377039, 0.000011
408,1, 1, 355200000.000000, 2.815315, 1.000000
409,1, 168801, 3343012864.000000, 0.299131, 0.000006
410,1, 1, 334457088.000000, 2.989920, 1.000000
411,1, 1, 600804096.000000, 1.664436, 1.000000
412,1, 1, 369273856.000000, 2.708017, 1.000000
413,1, 168800, 3321362176.000000, 0.301081, 0.000006
414,1, 311607, 3285820160.000000, 0.304338, 0.000003
415,1, 274390, 3321238016.000000, 0.301093, 0.000004
416,1, 150611, 2999014912.000000, 0.333443, 0.000007
417,1, 315877, 3248948992.000000, 0.307792, 0.000003
418,1, 160290, 3080625920.000000, 0.324609, 0.000006
419,1, 102748, 2932990976.000000, 0.340949, 0.000010
420,1, 1, 122015232.000000, 8.195698, 1.000000
421,1, 1, 241696000.000000, 4.137429, 1.000000
422,1, 1, 154292992.000000, 6.481176, 1.000000
423,1, 1, 263896064.000000, 3.789371, 1.000000
424,1, 1, 291368960.000000, 3.432075, 1.000000
425,1, 2, 106415872.000000, 9.397094, 0.500000
426,1, 1, 242254848.000000, 4.127884, 1.000000
427,1, 82666, 2557863936.000000, 0.390951, 0.000012
428,1, 1, 274825216.000000, 3.638676, 1.000000
429,1, 218899, 2487881984.000000, 0.401948, 0.000005
430,1, 34686, 1542212864.000000, 0.648419, 0.000029
431,1, 1, 388005120.000000, 2.577286, 1.000000
432,1, 72823, 2383225856.000000, 0.419599, 0.000014
433,1, 39211, 1689285888.000000, 0.591966, 0.000026
434,1, 2, 365445888.000000, 2.736383, 0.500000
435,1, 265276, 2354905088.000000, 0.424646, 0.000004
436,1, 244169, 2416751872.000000, 0.413779, 0.000004
437,1, 96318, 1519088128.000000, 0.658290, 0.000010
438,1, 109622, 2388305152.000000, 0.418707, 0.000009
439,1, 1, 664533248.000000, 1.504816, 1.000000
440,1, 59072, 2063151104.000000, 0.484695, 0.000017
441,1, 275180, 5990793984.000000, 0.166923, 0.000004
442,1, 106652, 2093679104.000000, 0.477628, 0.000009
443,1, 159699, 2055683072.000000, 0.486456, 0.000006
444,1, 48503, 1634504960.000000, 0.611806, 0.000021
445,1, 1, 384724992.000000, 2.599259, 1.000000
446,1, 1, 893578752.000000, 1.119096, 1.000000
447,1, 59073, 1489792768.000000, 0.671234, 0.000017
448,1, 1, 168879872.000000, 5.921369, 1.000000
449,1, 36997, 1332835072.000000, 0.750280, 0.000027
450,1, 1, 479721984.000000, 2.084541, 1.000000
451,1, 1, 331069952.000000, 3.020510, 1.000000
452,1, 342945, 4750286848.000000, 0.210514, 0.000003
453,1, 2, 575678976.000000, 1.737079, 0.500000
454,1, 1, 582466048.000000, 1.716838, 1.000000
455,1, 1, 356154880.000000, 2.807767, 1.000000
456,1, 263615, 4253701888.000000, 0.235089, 0.000004
457,1, 1, 665582080.000000, 1.502444, 1.000000
458,1, 1, 456601856.000000, 2.190092, 1.000000
459,1, 185878, 4405132032.000000, 0.227008, 0.000005
460,1, 199887, 3310605056.000000, 0.302060, 0.000005
461,1, 122, 452618240.000000, 2.209367, 0.008197
462,1, 3, 319031808.000000, 3.134484, 0.333333
463,1, 2, 306374144.000000, 3.263983, 0.500000
464,1, 392776, 4000950016.000000, 0.249941, 0.000003
465,1, 1, 347028992.000000, 2.881604, 1.000000
466,1, 1, 254647808.000000, 3.926992, 1.000000
467,1, 189138, 3647257088.000000, 0.274179, 0.000005
468,1, 1, 192011008.000000, 5.208035, 1.000000
469,1, 251060, 3450440960.000000, 0.289818, 0.000004
470,1, 1, 142274048.000000, 7.028689, 1.000000
471,1, 1, 129381120.000000, 7.729103, 1.000000
472,1, 195238, 3287752960.000000, 0.304159, 0.000005
473,1, 148868, 2933129984.000000, 0.340933, 0.000007
474,1, 127292, 3452012800.000000, 0.289686, 0.000008
475,1, 1, 515162112.000000, 1.941137, 1.000000
476,1, 148867, 2883848960.000000, 0.346759, 0.000007
477,1, 365066, 3339249920.000000, 0.299468, 0.000003
478,1, 109278, 2346944000.000000, 0.426086, 0.000009
479,1, 1, 226931968.000000, 4.406607, 1.000000
480,1, 177063, 2805282816.000000, 0.356470, 0.000006
481,1, 127291, 3333128192.000000, 0.300018, 0.000008
482,1, 1, 148503040.000000, 6.733869, 1.000000
483,1, 186410, 3040505088.000000, 0.328893, 0.000005
484,1, 104812, 2059406080.000000, 0.485577, 0.000010
485,1, 1, 262230016.000000, 3.813446, 1.000000
486,1, 163951, 2886873856.000000, 0.346395, 0.000006
487,1, 59023, 2239092992.000000, 0.446609, 0.000017
488,1, 1, 518361088.000000, 1.929157, 1.000000
489,1, 1, 125464064.000000, 7.970410, 1.000000
490,1, 1, 292990208.000000, 3.413083, 1.000000
491,1, 84025, 1801339904.000000, 0.555142, 0.000012
492,1, 139051, 2591293952.000000, 0.385908, 0.000007
493,1, 59022, 1871395072.000000, 0.534361, 0.000017
494,1, 127450, 2570705152.000000, 0.388998, 0.000008
495,1, 1, 193315840.000000, 5.172882, 1.000000
496,1, 1, 278701056.000000, 3.588074, 1.000000
497,1, 1, 162860032.000000, 6.140242, 1.000000
498,1, 1, 236013824.000000, 4.237040, 1.000000
499,1, 1, 378436864.000000, 2.642449, 1.000000
500,1, 132504, 2292830976.000000, 0.436142, 0.000008
501,1, 420669, 5333444864.000000, 0.187496, 0.000002
502,1, 1, 190228992.000000, 5.256822, 1.000000
503,1, 1, 283476992.000000, 3.527623, 1.000000
504,1, 1, 486885888.000000, 2.053869, 1.000000
505,1, 1, 119172864.000000, 8.391172, 1.000000
506,1, 87075, 2528803840.000000, 0.395444, 0.000011
507,1, 1, 439153920.000000, 2.277106, 1.000000
508,1, 1, 144381952.000000, 6.926073, 1.000000
509,1, 629584, 5827357952.000000, 0.171604, 0.000002
510,1, 1, 174693120.000000, 5.724324, 1.000000
511,1, 23032, 918212096.000000, 1.089073, 0.000043
The LA algorithm took 29940 milliseconds
